"","X","Y"
"156",-89.3419921875,30.062841796875
"157",-89.31005859375,30.0787109375
"158",-89.287646484375,30.094189453125
"159",-89.27646484375,30.11083984375
"160",-89.1846679687499,30.16865234375
"161",-89.210693359375,30.126220703125
"162",-89.223974609375,30.08408203125
"163",-88.5581054687499,30.21591796875
"164",-88.570654296875,30.20478515625
"165",-88.6592285156249,30.2255859375
"166",-88.7130859375,30.244921875
"167",-88.7228515624999,30.2642578125
"168",-88.573974609375,30.2291503906251
"169",-88.5581054687499,30.21591796875
"170",-88.071337890625,30.25234375
"171",-88.159326171875,30.230908203125
"172",-88.28974609375,30.23291015625
"173",-88.316259765625,30.2404296875
"174",-88.263916015625,30.254736328125
"175",-88.109375,30.27373046875
"176",-88.071337890625,30.25234375
"177",-81.418994140625,30.971435546875
